,NGA,PolID,Time,Gauss1,Gauss2
147,Konya Plain,TrOttm2,1500,0.0004038366,0.9995961634
396,Upper Egypt,EgAyyub,1200,0.0003972127,0.9996027873
303,Sogdiana,UzTimur,1500,0.0003681479,0.9996318521
141,Konya Plain,TrByzM1,700,0.0003623795,0.9996376205
346,Susiana,IrPart1,0,0.0003545475,0.9996454525
343,Susiana,IrSeleu,-300,0.000346632,0.999653368
360,Susiana,IrSafvd,1600,0.0003398448,0.9996601552
358,Susiana,IrIlkhn,1300,0.0003267389,0.9996732611
142,Konya Plain,TrByzM1,800,0.000319298,0.999680702
349,Susiana,IrSasn1,400,0.0003108398,0.9996891602
356,Susiana,IrSeljq,1100,0.0003028607,0.9996971393
352,Susiana,SyCalUm,700,0.0002998822,0.9997001178
399,Upper Egypt,EgMamBu,1500,0.0002895371,0.9997104629
398,Upper Egypt,EgMamCP,1400,0.0002540621,0.9997459379
208,Middle Yellow River Valley,CnTangL,900,0.0002435205,0.9997564795
397,Upper Egypt,EgMamBh,1300,0.0002353875,0.9997646125
394,Upper Egypt,TnFatim,1000,0.0002342109,0.9997657891
205,Middle Yellow River Valley,CnSui**,600,0.0002233573,0.9997766427
350,Susiana,IrSasn2,500,0.0002020186,0.9997979814
207,Middle Yellow River Valley,CnTangL,800,0.0001993902,0.9998006098
302,Sogdiana,UzTimur,1400,0.0001976277,0.9998023723
162,Latium,ItRomLR,-100,0.0001943377,0.9998056623
143,Konya Plain,TrByzM2,900,0.0001704105,0.9998295895
94,Kachi Plain,InDelh*,1300,0.0001650154,0.9998349846
342,Susiana,IrAchae,-400,0.000164387,0.999835613
353,Susiana,IqAbbs1,800,0.0001617593,0.9998382407
279,Paris Basin,FrValoL,1500,0.0001523427,0.9998476573
115,Kansai,JpTokgw,1700,0.0001502871,0.9998497129
341,Susiana,IrAchae,-500,0.0001501371,0.9998498629
351,Susiana,IrSasn2,600,0.0001475138,0.9998524862
116,Kansai,JpTokgw,1800,0.0001425303,0.9998574697
200,Middle Yellow River Valley,CnEHan*,100,0.0001304984,0.9998695016
202,Middle Yellow River Valley,CnErJin,300,0.0001304219,0.9998695781
144,Konya Plain,TrByzM2,1000,0.0001292617,0.9998707383
206,Middle Yellow River Valley,CnTangE,700,0.000128676,0.999871324
140,Konya Plain,TrERom*,600,0.0001269413,0.9998730587
98,Kachi Plain,InMugl*,1700,0.000107624,0.999892376
138,Konya Plain,TrERom*,400,0.0001011359,0.9998988641
211,Middle Yellow River Valley,CnLrJin,1200,9.65633887180111E-05,0.9999034366
197,Middle Yellow River Valley,CnWHan*,-200,9.13872240612069E-05,0.9999086128
252,Orkhon Valley,MnMngKh,1300,7.78264588240136E-05,0.9999221735
139,Konya Plain,TrERom*,500,7.74442426736109E-05,0.9999225558
198,Middle Yellow River Valley,CnWHan*,-100,0.000074463,0.999925537
199,Middle Yellow River Valley,CnWHan*,0,0.000072701,0.999927299
166,Latium,ItRomWe,400,6.83736918384396E-05,0.9999316263
280,Paris Basin,FrBurbE,1600,6.09899200184682E-05,0.9999390101
137,Konya Plain,TrRomDm,300,5.6811937929821E-05,0.9999431881
149,Konya Plain,TrOttm4,1700,5.53056832250475E-05,0.9999446943
148,Konya Plain,TrOttm3,1600,5.03032364297421E-05,0.9999496968
163,Latium,ItRomPr,0,4.85802900960586E-05,0.9999514197
150,Konya Plain,TrOttm4,1800,4.83425787690712E-05,0.9999516574
213,Middle Yellow River Valley,CnMing*,1400,4.72598637361264E-05,0.9999527401
165,Latium,ItRomPr,200,4.45595726367236E-05,0.9999554404
164,Latium,ItRomPr,100,0.000042698,0.999957302
214,Middle Yellow River Valley,CnMing*,1500,3.44493705089491E-05,0.9999655506
209,Middle Yellow River Valley,CnNSong,1000,3.12471775939522E-05,0.9999687528
210,Middle Yellow River Valley,CnNSong,1100,2.89005875545835E-05,0.9999710994
215,Middle Yellow River Valley,CnMing*,1600,2.78047881270895E-05,0.9999721952
281,Paris Basin,FrBurbL,1700,1.94227709908786E-05,0.9999805772
212,Middle Yellow River Valley,CnYuan*,1300,1.88754758105172E-05,0.9999811245
216,Middle Yellow River Valley,CnQingE,1700,0.000011509,0.999988491
217,Middle Yellow River Valley,CnQingL,1800,8.55620241225138E-06,0.9999914438
218,Middle Yellow River Valley,CnQingL,1900,7.81048454944902E-06,0.9999921895
